split,image,nearest_train_image,cosine
val,scaled-dicom-4369.png,scaled-dicom-507.png,0.668643
val,scaled-dicom-4370.png,scaled-dicom-507.png,0.676707
val,scaled-dicom-4371.png,scaled-dicom-507.png,0.679047
val,scaled-dicom-4372.png,scaled-dicom-507.png,0.679205
val,scaled-dicom-4373.png,scaled-dicom-507.png,0.670874
val,scaled-dicom-4374.png,scaled-dicom-577.png,0.681961
val,scaled-dicom-4375.png,scaled-dicom-577.png,0.682155
val,scaled-dicom-4376.png,scaled-dicom-577.png,0.681578
val,scaled-dicom-4377.png,scaled-dicom-577.png,0.640236
val,scaled-dicom-4378.png,scaled-dicom-577.png,0.640085
val,scaled-dicom-4379.png,scaled-dicom-577.png,0.655042
val,scaled-dicom-4380.png,scaled-dicom-577.png,0.662066
val,scaled-dicom-4381.png,scaled-dicom-577.png,0.66223
val,scaled-dicom-4382.png,scaled-dicom-577.png,0.662076
val,scaled-dicom-4383.png,scaled-dicom-574.png,0.621256
val,scaled-dicom-4384.png,scaled-dicom-574.png,0.621013
val,scaled-dicom-4385.png,scaled-dicom-577.png,0.644411
val,scaled-dicom-4386.png,scaled-dicom-574.png,0.632587
val,scaled-dicom-4387.png,scaled-dicom-574.png,0.632287
val,scaled-dicom-4388.png,scaled-dicom-574.png,0.633433
val,scaled-dicom-4389.png,scaled-dicom-573.png,0.638317
val,scaled-dicom-4390.png,scaled-dicom-573.png,0.638149
val,scaled-dicom-4391.png,scaled-dicom-573.png,0.639021
val,scaled-dicom-4392.png,scaled-dicom-574.png,0.653868
val,scaled-dicom-4393.png,scaled-dicom-574.png,0.653886
val,scaled-dicom-4394.png,scaled-dicom-574.png,0.654047
val,scaled-dicom-4395.png,scaled-dicom-570.png,0.637104
val,scaled-dicom-4396.png,scaled-dicom-570.png,0.636985
val,scaled-dicom-4397.png,scaled-dicom-574.png,0.651756
val,scaled-dicom-4398.png,scaled-dicom-574.png,0.648014
val,scaled-dicom-4399.png,scaled-dicom-570.png,0.633176
val,scaled-dicom-4400.png,scaled-dicom-574.png,0.648935
val,scaled-dicom-4401.png,scaled-dicom-573.png,0.633264
val,scaled-dicom-4402.png,scaled-dicom-573.png,0.632983
val,scaled-dicom-4403.png,scaled-dicom-573.png,0.634455
val,scaled-dicom-4404.png,scaled-dicom-574.png,0.657445
val,scaled-dicom-4405.png,scaled-dicom-573.png,0.638033
val,scaled-dicom-4406.png,scaled-dicom-574.png,0.658193
val,scaled-dicom-4407.png,scaled-dicom-574.png,0.664996
val,scaled-dicom-4408.png,scaled-dicom-574.png,0.664914
val,scaled-dicom-4409.png,scaled-dicom-574.png,0.665397
val,scaled-dicom-4410.png,scaled-dicom-577.png,0.660093
val,scaled-dicom-4411.png,scaled-dicom-577.png,0.660043
val,scaled-dicom-4412.png,scaled-dicom-577.png,0.660856
val,scaled-dicom-4413.png,scaled-dicom-577.png,0.690295
val,scaled-dicom-4414.png,scaled-dicom-577.png,0.690705
val,scaled-dicom-4415.png,scaled-dicom-504.png,0.693362
val,scaled-dicom-4416.png,scaled-dicom-504.png,0.694579
val,scaled-dicom-4417.png,scaled-dicom-504.png,0.694952
val,scaled-dicom-4418.png,scaled-dicom-507.png,0.693659
val,scaled-dicom-4419.png,scaled-dicom-507.png,0.703037
val,scaled-dicom-4420.png,scaled-dicom-504.png,0.703327
val,scaled-dicom-4421.png,scaled-dicom-507.png,0.702583
val,scaled-dicom-4422.png,scaled-dicom-577.png,0.708203
val,scaled-dicom-4423.png,scaled-dicom-577.png,0.708676
val,scaled-dicom-4424.png,scaled-dicom-504.png,0.712821
val,scaled-dicom-4425.png,scaled-dicom-504.png,0.714673
val,scaled-dicom-4426.png,scaled-dicom-504.png,0.714923
val,scaled-dicom-4427.png,scaled-dicom-507.png,0.713981
val,scaled-dicom-4428.png,scaled-dicom-507.png,0.707865
val,scaled-dicom-4429.png,scaled-dicom-504.png,0.70647
val,scaled-dicom-4430.png,scaled-dicom-507.png,0.707439
val,scaled-dicom-4431.png,scaled-dicom-507.png,0.699476
val,scaled-dicom-4432.png,scaled-dicom-504.png,0.700196
val,scaled-dicom-4433.png,scaled-dicom-507.png,0.698502
val,scaled-dicom-4434.png,scaled-dicom-504.png,0.699925
val,scaled-dicom-4435.png,scaled-dicom-504.png,0.7
val,scaled-dicom-4436.png,scaled-dicom-504.png,0.69948
val,scaled-dicom-4437.png,scaled-dicom-577.png,0.696136
val,scaled-dicom-4438.png,scaled-dicom-504.png,0.700359
val,scaled-dicom-4439.png,scaled-dicom-577.png,0.694718
val,scaled-dicom-4440.png,scaled-dicom-507.png,0.696808
val,scaled-dicom-4441.png,scaled-dicom-507.png,0.69689
val,scaled-dicom-4442.png,scaled-dicom-505.png,0.677763
val,scaled-dicom-4443.png,scaled-dicom-507.png,0.710028
val,scaled-dicom-4444.png,scaled-dicom-507.png,0.715078
val,scaled-dicom-4445.png,scaled-dicom-507.png,0.709216
val,scaled-dicom-4446.png,scaled-dicom-507.png,0.705818
val,scaled-dicom-4447.png,scaled-dicom-507.png,0.705807
val,scaled-dicom-4448.png,scaled-dicom-507.png,0.697126
val,scaled-dicom-4449.png,scaled-dicom-507.png,0.694387
val,scaled-dicom-4450.png,scaled-dicom-507.png,0.694628
val,scaled-dicom-4451.png,scaled-dicom-507.png,0.69314
val,scaled-dicom-4452.png,scaled-dicom-507.png,0.688453
val,scaled-dicom-4453.png,scaled-dicom-507.png,0.688865
val,scaled-dicom-4454.png,scaled-dicom-507.png,0.673594
val,scaled-dicom-4455.png,scaled-dicom-507.png,0.682556
val,scaled-dicom-4456.png,scaled-dicom-507.png,0.682815
val,scaled-dicom-4457.png,scaled-dicom-507.png,0.681776
val,scaled-dicom-4458.png,scaled-dicom-577.png,0.67187
val,scaled-dicom-4459.png,scaled-dicom-577.png,0.672147
val,scaled-dicom-4460.png,scaled-dicom-501.png,0.669903
val,scaled-dicom-4461.png,scaled-dicom-501.png,0.670582
val,scaled-dicom-4462.png,scaled-dicom-577.png,0.671001
val,scaled-dicom-4463.png,scaled-dicom-501.png,0.670042
val,scaled-dicom-4464.png,scaled-dicom-505.png,0.643997
val,scaled-dicom-4465.png,scaled-dicom-505.png,0.644442
val,scaled-dicom-4466.png,scaled-dicom-507.png,0.643001
val,scaled-dicom-4467.png,scaled-dicom-505.png,0.63883
val,scaled-dicom-4468.png,scaled-dicom-505.png,0.639245
val,scaled-dicom-4469.png,scaled-dicom-507.png,0.637427
val,scaled-dicom-4470.png,scaled-dicom-507.png,0.645976
val,scaled-dicom-4471.png,scaled-dicom-506.png,0.646436
val,scaled-dicom-4472.png,scaled-dicom-505.png,0.628499
val,scaled-dicom-4473.png,scaled-dicom-505.png,0.603616
val,scaled-dicom-4474.png,scaled-dicom-505.png,0.604192
val,scaled-dicom-4475.png,scaled-dicom-505.png,0.602051
val,scaled-dicom-4476.png,scaled-dicom-505.png,0.583646
val,scaled-dicom-4477.png,predict5_scaled-A0011_frame62.png,0.67522
val,scaled-dicom-4478.png,predict5_scaled-A0011_frame62.png,0.675521
val,scaled-dicom-4479.png,predict5_scaled-A0011_frame60.png,0.674032
val,scaled-dicom-4480.png,predict5_scaled-A0011_frame60.png,0.673523
val,scaled-dicom-4481.png,predict5_scaled-A0011_frame60.png,0.673906
val,scaled-dicom-4482.png,predict5_scaled-A0011_frame62.png,0.679706
val,scaled-dicom-4483.png,predict5_scaled-A0011_frame62.png,0.68065
val,scaled-dicom-4484.png,predict5_scaled-A0011_frame62.png,0.68088
val,scaled-dicom-4485.png,predict5_scaled-A0011_frame62.png,0.680613
val,scaled-dicom-4486.png,predict5_scaled-A0011_frame62.png,0.681687
val,scaled-dicom-4487.png,predict5_scaled-A0011_frame60.png,0.677085
val,scaled-dicom-4488.png,predict5_scaled-A0011_frame60.png,0.676035
val,scaled-dicom-4489.png,predict5_scaled-A0011_frame60.png,0.684839
val,scaled-dicom-4490.png,predict5_scaled-A0011_frame60.png,0.684534
val,scaled-dicom-4491.png,predict5_scaled-A0011_frame60.png,0.684065
val,scaled-dicom-4492.png,predict5_scaled-A0010_frame8.png,0.687474
val,scaled-dicom-4493.png,predict5_scaled-A0010_frame8.png,0.687085
val,scaled-dicom-4494.png,predict5_scaled-A0010_frame8.png,0.687647
val,scaled-dicom-4495.png,predict5_scaled-A0011_frame60.png,0.690351
val,scaled-dicom-4496.png,predict5_scaled-A0011_frame60.png,0.690598
val,scaled-dicom-4497.png,predict5_scaled-A0011_frame60.png,0.688786
val,scaled-dicom-4498.png,predict5_scaled-A0010_frame10.png,0.687051
val,scaled-dicom-4499.png,predict5_scaled-A0010_frame8.png,0.688184
val,scaled-dicom-4500.png,predict5_scaled-A0010_frame10.png,0.687478
val,scaled-dicom-4501.png,predict5_scaled-A0010_frame8.png,0.678975
val,scaled-dicom-4502.png,predict5_scaled-A0010_frame8.png,0.678757
val,scaled-dicom-4503.png,predict5_scaled-A0010_frame8.png,0.678596
val,scaled-dicom-4504.png,predict5_scaled-A0011_frame66.png,0.647238
val,scaled-dicom-4505.png,predict5_scaled-A0011_frame66.png,0.647092
val,scaled-dicom-4506.png,predict5_scaled-A0011_frame66.png,0.647843
val,scaled-dicom-4507.png,predict5_scaled-A0010_frame8.png,0.644391
val,scaled-dicom-4508.png,predict5_scaled-A0010_frame8.png,0.64389
