candidate_id,source_repository,title,doi,url,publisher,year,license_declared,access_declared,files_n,size_bytes,resource_type,matched_query,relevance_score,provisional_tier,mentions_ultrasound,mentions_dataset
"openaire:Comparison of Safety And Efficacy of Neyraxial Anesthesia,Palpation Versus Ultrasound",openaire,"Comparison of Safety And Efficacy of Neyraxial Anesthesia,Palpation Versus Ultrasound",,,,2011,,,,,,neuraxial ultrasound,-2,none,True,False
openaire:Ultrasound-guided Bilateral Dual Transversus Abdominis Plane (BD-TAP) Block: Description of a Novel Four-point ,openaire,Ultrasound-guided Bilateral Dual Transversus Abdominis Plane (BD-TAP) Block: Description of a Novel Four-point Ultrasound-guided TAP Block Approach,,,,2009,,,,,,neuraxial ultrasound,-2,none,True,False
openaire:The Analgesic Effect of Dexmedetomidine as an Adjunct to Local Anesthetics in Ultrasound-guided Interscalene Ap,openaire,The Analgesic Effect of Dexmedetomidine as an Adjunct to Local Anesthetics in Ultrasound-guided Interscalene Approach to Brachial Plexus Block for Shoulder Surgery: A Randomized Controlled Trial,,,,2014,,,,,,neuraxial ultrasound,-2,none,True,False
openaire:Effect of Thoracic Epidural Analgesia vs Rectus Sheath Catheters on Postoperative Pulmonary Function After Midl,openaire,Effect of Thoracic Epidural Analgesia vs Rectus Sheath Catheters on Postoperative Pulmonary Function After Midline Laparotomy: A Prospective Randomized Controlled Study,,,,2016,,,,,,neuraxial ultrasound,-2,T0,False,False
"openaire:Continuous Adductor Canal Block With Epidural Analgesia for Total Knee Arthroplasty: A Prospective, Randomized,",openaire,"Continuous Adductor Canal Block With Epidural Analgesia for Total Knee Arthroplasty: A Prospective, Randomized, Double-blinded, Placebo-Controlled Trial",,,,2014,,,,,,neuraxial ultrasound,-2,T0,False,False
10.6084/m9.figshare.c.6210434.v1,openaire,Prenatal diagnosis identifies compound heterozygous variants in RYR1 that causes ultrasound abnormalities in a fetus,10.6084/m9.figshare.c.6210434.v1,,,2022,,,,,,scoliosis ultrasound,-2,none,True,False
openaire:Effects of Ultrasound Cavitation Focused on Located Adiposity: Pilot Study,openaire,Effects of Ultrasound Cavitation Focused on Located Adiposity: Pilot Study,,,,2015,,,,,,scoliosis ultrasound,-2,none,True,False
openaire:Conventional vs Ultrasound Guided Arteria Cannulation,openaire,Conventional vs Ultrasound Guided Arteria Cannulation,,,,2012,,,,,,needle tip tracking ultrasound,-2,none,True,False
10.6084/m9.figshare.c.5993879,openaire,Development of a multisystem point of care ultrasound skills assessment checklist,10.6084/m9.figshare.c.5993879,,,2022,,,,,,needle tip tracking ultrasound,-2,none,True,False
"openaire:Conventional vs. Ultrasound Guided Arteria Cannulation, With and Without Local Anesthesia",openaire,"Conventional vs. Ultrasound Guided Arteria Cannulation, With and Without Local Anesthesia",,,,2012,,,,,,needle tip tracking ultrasound,-2,none,True,False
openaire:Randomised Control Trial to Determine the Effect of Simulation Based Training on Initial Performance of Ultraso,openaire,Randomised Control Trial to Determine the Effect of Simulation Based Training on Initial Performance of Ultrasound Guided Axillary Brachial Plexus Blockade in a Clinical Setting,,,,2013,,,,,,ultrasound guided needle insertion dataset,-2,none,True,False
10.5281/zenodo.8159177,zenodo,Three-Dimensional Ultrasound Matrix Imaging,10.5281/zenodo.8159177,https://zenodo.org/records/8159177,,2023,cc-by-4.0,open,6,35003048670,dataset,3D ultrasound spine,-2,none,True,False
10.5061/dryad.17tp1,zenodo,Data from: Epidemiological survey of the feasibility of broadband ultrasound attenuation measured using calcaneal quantitative ultrasound to predict the incidence of falls in the middle aged and elderly,10.5061/dryad.17tp1,https://zenodo.org/records/4992124,,2016,cc-zero,open,1,28249,dataset,breast ultrasound,-2,none,True,False
